;Data;Hora UTC;RADIACAO GLOBAL (Kj/m²)
617;26/01/24;1700 UTC;1745.6
618;26/01/24;1800 UTC;2278.3
619;26/01/24;1900 UTC;766.2
620;26/01/24;2000 UTC;712.3
621;26/01/24;2100 UTC;103.8
633;27/01/24;0900 UTC;80.6
634;27/01/24;1000 UTC;649.5
635;27/01/24;1100 UTC;1356.5
636;27/01/24;1200 UTC;1992.2
637;27/01/24;1300 UTC;1811.2
638;27/01/24;1400 UTC;2198.8
639;27/01/24;1500 UTC;3329.7
640;27/01/24;1600 UTC;2170.3
641;27/01/24;1700 UTC;1623.8
642;27/01/24;1800 UTC;2510.3
643;27/01/24;1900 UTC;1557.0
644;27/01/24;2000 UTC;664.5
645;27/01/24;2100 UTC;130.3
657;28/01/24;0900 UTC;68.1
658;28/01/24;1000 UTC;311.8
659;28/01/24;1100 UTC;1063.3
660;28/01/24;1200 UTC;1035.4
661;28/01/24;1300 UTC;1621.1
662;28/01/24;1400 UTC;3370.2
663;28/01/24;1500 UTC;2607.7
664;28/01/24;1600 UTC;2009.7
665;28/01/24;1700 UTC;2015.8
666;28/01/24;1800 UTC;2137.0
667;28/01/24;1900 UTC;1287.7
668;28/01/24;2000 UTC;502.2
669;28/01/24;2100 UTC;108.0
681;29/01/24;0900 UTC;64.9
682;29/01/24;1000 UTC;445.1
683;29/01/24;1100 UTC;782.0
684;29/01/24;1200 UTC;1494.9
685;29/01/24;1300 UTC;2658.2
686;29/01/24;1400 UTC;3432.2
687;29/01/24;1500 UTC;3583.3
688;29/01/24;1600 UTC;3480.5
689;29/01/24;1700 UTC;2978.6
690;29/01/24;1800 UTC;1950.2
691;29/01/24;1900 UTC;1649.1
692;29/01/24;2000 UTC;807.5
693;29/01/24;2100 UTC;90.2
705;30/01/24;0900 UTC;60.7
706;30/01/24;1000 UTC;663.5
707;30/01/24;1100 UTC;1282.0
708;30/01/24;1200 UTC;2214.8
709;30/01/24;1300 UTC;2708.3
710;30/01/24;1400 UTC;3488.6
711;30/01/24;1500 UTC;3464.2
712;30/01/24;1600 UTC;3438.1
713;30/01/24;1700 UTC;3138.7
714;30/01/24;1800 UTC;2526.5
715;30/01/24;1900 UTC;1843.8
716;30/01/24;2000 UTC;946.0
717;30/01/24;2100 UTC;93.0
729;31/01/24;0900 UTC;96.9
730;31/01/24;1000 UTC;831.5
731;31/01/24;1100 UTC;1533.7
732;31/01/24;1200 UTC;2388.4
733;31/01/24;1300 UTC;3116.5
734;31/01/24;1400 UTC;3424.7
735;31/01/24;1500 UTC;3287.0
736;31/01/24;1600 UTC;3521.6
737;31/01/24;1700 UTC;3155.9
738;31/01/24;1800 UTC;2638.9
739;31/01/24;1900 UTC;1992.9
740;31/01/24;2000 UTC;1120.1
741;31/01/24;2100 UTC;96.4
753;01/02/24;0900 UTC;114.8
754;01/02/24;1000 UTC;549.8
755;01/02/24;1100 UTC;1514.5
756;01/02/24;1200 UTC;1529.1
757;01/02/24;1300 UTC;2261.4
758;01/02/24;1400 UTC;2141.5
759;01/02/24;1500 UTC;3257.3
760;01/02/24;1600 UTC;2839.4
761;01/02/24;1700 UTC;2071.1
762;01/02/24;1800 UTC;1939.9
763;01/02/24;1900 UTC;1482.2
764;01/02/24;2000 UTC;800.6
765;01/02/24;2100 UTC;104.2
777;02/02/24;0900 UTC;90.6
778;02/02/24;1000 UTC;534.1
779;02/02/24;1100 UTC;592.2
780;02/02/24;1200 UTC;1486.1
781;02/02/24;1300 UTC;2056.8
782;02/02/24;1400 UTC;3260.2
783;02/02/24;1500 UTC;3462.5
784;02/02/24;1600 UTC;3782.0
785;02/02/24;1700 UTC;3387.2
786;02/02/24;1800 UTC;2419.0
787;02/02/24;1900 UTC;1989.3
788;02/02/24;2000 UTC;827.2
789;02/02/24;2100 UTC;107.6
802;03/02/24;1000 UTC;643.7
803;03/02/24;1100 UTC;1348.4
804;03/02/24;1200 UTC;2220.0
805;03/02/24;1300 UTC;2917.0
806;03/02/24;1400 UTC;2796.3
807;03/02/24;1500 UTC;3656.9
808;03/02/24;1600 UTC;3316.2
809;03/02/24;1700 UTC;3044.3
810;03/02/24;1800 UTC;2434.0
811;03/02/24;1900 UTC;1801.4
812;03/02/24;2000 UTC;481.5
813;03/02/24;2100 UTC;66.2
825;04/02/24;0900 UTC;53.1
826;04/02/24;1000 UTC;731.4
827;04/02/24;1100 UTC;1374.2
828;04/02/24;1200 UTC;1933.7
829;04/02/24;1300 UTC;2435.4
830;04/02/24;1400 UTC;3207.9
831;04/02/24;1500 UTC;3672.9
832;04/02/24;1600 UTC;3534.7
833;04/02/24;1700 UTC;3148.8
834;04/02/24;1800 UTC;2601.0
835;04/02/24;1900 UTC;1559.6
836;04/02/24;2000 UTC;670.1
837;04/02/24;2100 UTC;80.5
849;05/02/24;0900 UTC;27.0
850;05/02/24;1000 UTC;422.5
851;05/02/24;1100 UTC;1061.0
852;05/02/24;1200 UTC;1745.6
853;05/02/24;1300 UTC;1888.6
854;05/02/24;1400 UTC;2052.1
855;05/02/24;1500 UTC;2768.3
856;05/02/24;1600 UTC;2547.6
857;05/02/24;1700 UTC;3233.7
858;05/02/24;1800 UTC;2395.4
859;05/02/24;1900 UTC;1291.9
860;05/02/24;2000 UTC;989.8
861;05/02/24;2100 UTC;83.6
873;06/02/24;0900 UTC;68.6
874;06/02/24;1000 UTC;565.7
875;06/02/24;1100 UTC;1479.4
876;06/02/24;1200 UTC;2158.5
877;06/02/24;1300 UTC;2857.2
878;06/02/24;1400 UTC;3380.7
879;06/02/24;1500 UTC;3830.4
880;06/02/24;1600 UTC;3560.1
881;06/02/24;1700 UTC;3077.2
882;06/02/24;1800 UTC;2553.8
883;06/02/24;1900 UTC;1871.2
884;06/02/24;2000 UTC;993.0
885;06/02/24;2100 UTC;94.6
897;07/02/24;0900 UTC;69.9
898;07/02/24;1000 UTC;638.6
899;07/02/24;1100 UTC;1407.4
900;07/02/24;1200 UTC;1899.0
901;07/02/24;1300 UTC;1924.7
902;07/02/24;1400 UTC;2461.8
903;07/02/24;1500 UTC;3201.0
904;07/02/24;1600 UTC;3317.1
905;07/02/24;1700 UTC;2506.5
906;07/02/24;1800 UTC;1957.6
907;07/02/24;1900 UTC;1498.8
908;07/02/24;2000 UTC;595.3
909;07/02/24;2100 UTC;121.2
921;08/02/24;0900 UTC;72.5
922;08/02/24;1000 UTC;670.0
923;08/02/24;1100 UTC;1647.5
924;08/02/24;1200 UTC;2112.3
925;08/02/24;1300 UTC;2389.5
926;08/02/24;1400 UTC;3530.2
927;08/02/24;1500 UTC;3516.0
928;08/02/24;1600 UTC;3150.3
929;08/02/24;1700 UTC;3103.7
930;08/02/24;1800 UTC;2371.5
931;08/02/24;1900 UTC;1677.4
932;08/02/24;2000 UTC;659.1
933;08/02/24;2100 UTC;102.9
945;09/02/24;0900 UTC;74.4
946;09/02/24;1000 UTC;692.0
947;09/02/24;1100 UTC;1409.0
948;09/02/24;1200 UTC;1804.0
949;09/02/24;1300 UTC;2783.4
950;09/02/24;1400 UTC;3068.5
951;09/02/24;1500 UTC;3299.1
952;09/02/24;1600 UTC;3437.9
953;09/02/24;1700 UTC;2825.1
954;09/02/24;1800 UTC;2178.9
955;09/02/24;1900 UTC;1505.4
956;09/02/24;2000 UTC;611.3
957;09/02/24;2100 UTC;76.9
969;10/02/24;0900 UTC;52.0
970;10/02/24;1000 UTC;268.0
971;10/02/24;1100 UTC;951.1
972;10/02/24;1200 UTC;2208.1
973;10/02/24;1300 UTC;2544.1
974;10/02/24;1400 UTC;2672.7
975;10/02/24;1500 UTC;2889.9
976;10/02/24;1600 UTC;2353.9
977;10/02/24;1700 UTC;1925.2
978;10/02/24;1800 UTC;1654.5
979;10/02/24;1900 UTC;1095.9
980;10/02/24;2000 UTC;194.2
981;10/02/24;2100 UTC;54.0
991;11/02/24;0700 UTC;1.4
993;11/02/24;0900 UTC;3.4
994;11/02/24;1000 UTC;215.4
995;11/02/24;1100 UTC;581.9
996;11/02/24;1200 UTC;1458.9
997;11/02/24;1300 UTC;1370.2
998;11/02/24;1400 UTC;1113.1
999;11/02/24;1500 UTC;2821.5
1000;11/02/24;1600 UTC;2177.7
1001;11/02/24;1700 UTC;2532.2
